"","Time","pp","pp_nr2"
"72",71,"0.0037721162273859","0.00382841917653967"
"73",72,"0.00385412680251258","0.00377184346255645"
"74",73,"0.00327967051998712","0.00372757765716279"
"75",74,"0.00411735182361943","0.00379130015124066"
"76",75,"0.0035333001287654","0.00375355338781438"
"77",76,"0.00383022035072957","0.00375777283032046"
"78",77,"0.00366256100824103","0.00383414457664005"
"79",78,"0.0041111189140273","0.00397713679942851"
"80",79,"0.00424264476168901","0.00411522296676763"
"81",80,"0.00410845183900424","0.00415993535800342"
"82",81,"0.00469183360110037","0.00418207334341778"
"83",82,"0.003898460551032","0.00408306409241394"
"84",83,"0.00391086336458102","0.00405800547258404"
"85",84,"0.0044287229622049","0.00411175368961402"
"86",85,"0.00394172858796082","0.00412867156009527"
"87",86,"0.00440037310389536","0.0041465294250823"
"88",87,"0.00408740367856808","0.00413306181030315"
"89",88,"0.00386367096299572","0.00416748622208761"
"90",89,"0.00470082339597866","0.00428914243217396"
"91",90,"0.0040528940236462","0.00422517372799774"
"92",91,"0.00409816106548533","0.00413208105054735"
"93",92,"0.00425401948658483","0.00410567715093407"
"94",93,"0.00389316814835183","0.00403170672895153"
"95",94,"0.00410841651526945","0.00401423812458631"
"96",95,"0.00354623235762119","0.00404505592319888"
"97",96,"0.0045820121304132","0.00414349880680031"
"98",97,"0.00423548664548434","0.00420511361359594"
"99",98,"0.00413768475742212","0.00420927610239556"
"100",99,"0.0040625081746839","0.00419545345465961"
"101",100,"0.00434046504752977","0.00421032254507994"
"102",101,"0.00435897262973918","0.00420602340751421"
"103",102,"0.0038048063205289","0.0040987469754875"
"104",103,"0.0036523531016428","0.00407430590184786"
"105",104,"0.00451342242636851","0.004260820196983"
"106",105,"0.00452171545475721","0.00440585938273788"
"107",106,"0.00442073404389833","0.0044343894268241"
"108",107,"0.00436027240357362","0.00450847867218557"
"109",108,"0.00496072385327092","0.0046356621126297"
"110",109,"0.00499556522117928","0.00470501560881598"
"111",110,"0.00475648218499763","0.00461461678816879"
"112",111,"0.00512958332546987","0.004512430778743"
"113",112,"0.00352694855869881","0.00432394487601565"
"114",113,"0.00455234374385327","0.00433768337165355"
